aX,aY,aZ
0.919,-0.928,0.625
0.922,-0.971,0.644
0.915,-0.943,0.713
0.896,-0.963,0.752
0.891,-1.004,0.813
0.886,-1.012,0.871
0.868,-1.014,0.912
0.851,-1.002,1
0.813,-1.033,1.018
0.778,-1.038,1.019
0.75,-0.984,1.04
0.708,-0.956,1.078
0.672,-0.918,1.086
0.522,-0.888,1.101
0.578,-0.857,1.083
0.483,-0.805,1.083
0.359,-0.728,1.061
0.303,-0.687,1.015
0.204,-0.577,0.994
0.108,-0.464,0.911
0.061,-0.375,0.806
-0.019,-0.278,0.729
-0.131,-0.114,0.59
-0.186,-0.044,0.47
-0.288,0.067,0.44
-0.398,0.16,0.386
-0.465,0.342,0.397
-0.622,0.377,0.427
-0.763,0.539,0.528
-0.826,0.682,0.596
-0.945,0.761,0.613
-1.049,0.906,0.615
-1.098,1.129,0.598
-1.212,1.246,0.58
-1.278,1.478,0.582
-1.37,1.687,0.61
-1.424,1.775,0.673
-1.524,1.92,0.715
-1.565,2.027,0.851
-1.613,2.084,1.042
-1.624,2.153,1.166
-1.605,2.167,1.451
-1.499,2.166,1.865
-1.284,2.132,1.954
-1.127,2.033,2.263
-0.754,1.956,2.5
-0.343,1.792,2.589
-0.119,1.663,2.697
0.334,1.61,2.705
0.978,1.518,2.642
1.207,1.458,2.456
1.666,1.464,2.319
1.821,1.442,1.993
2.007,1.441,1.809
1.975,1.515,1.421
1.854,1.571,0.977
1.252,1.606,0.59
1.229,1.634,0.615
0.673,1.633,0.447
0.09,1.557,0.462
-0.105,1.638,0.613
-0.601,1.296,0.654
-0.923,0.974,0.763
-0.95,0.923,0.922
-1.024,0.824,1.057
-0.986,0.801,1.037
-1.06,0.808,1.099
-0.998,1.022,1.116
-1.005,1.059,0.864
-0.885,1.017,0.986
-0.97,1.042,0.815
-1.067,1.056,0.795
-0.92,1.131,1.058
-1.137,1.155,1.047
-1.352,1.077,0.915
-1.393,0.932,0.871
-1.404,0.877,0.757
-1.417,0.825,0.855
-1.422,0.762,0.816
-1.378,0.713,0.778
-1.272,0.643,0.775
-1.238,0.574,0.742
-1.132,0.527,0.695
-0.974,0.456,0.683
-0.901,0.389,0.712
-0.74,0.344,0.762
-0.564,0.242,0.793
-0.488,0.133,0.835
-0.376,0.072,0.847
-0.282,-0.024,0.846
-0.243,-0.111,0.81
-0.183,-0.151,0.763
-0.151,-0.202,0.735
0.409,-0.922,0.771
0.456,-0.977,0.881
0.472,-1.023,0.97
0.488,-1.038,1.003
0.502,-1.043,1.067
0.517,-1.049,1.105
0.556,-1.042,1.121
0.583,-1.009,1.12
0.628,-0.977,1.108
0.65,-0.968,1.085
0.682,-0.95,1.067
0.697,-0.927,1.012
0.717,-0.9,0.959
0.735,-0.836,0.938
0.77,-0.769,0.908
0.783,-0.75,0.859
0.809,-0.728,0.83
0.854,-0.675,0.798
0.874,-0.648,0.781
0.896,-0.634,0.769
0.893,-0.605,0.755
0.886,-0.55,0.764
0.874,-0.53,0.77
0.86,-0.52,0.764
0.875,-0.512,0.812
0.821,-0.486,0.709
0.677,-0.505,0.712
0.844,-0.333,0.899
0.769,-0.297,0.794
0.644,-0.371,0.779
0.666,-0.386,0.776
0.795,-0.346,0.861
0.71,-0.272,0.871
0.679,-0.332,0.888
0.678,-0.354,0.9
0.681,-0.355,0.933
0.672,-0.331,0.949
0.66,-0.319,0.945
0.642,-0.293,0.911
0.625,-0.285,0.859
0.633,-0.265,0.841
0.663,-0.243,0.823
0.67,-0.247,0.804
0.633,-0.244,0.787
0.628,-0.251,0.794
0.627,-0.259,0.77
0.605,-0.247,0.761
0.587,-0.243,0.742
0.579,-0.202,0.742
0.566,-0.212,0.743
0.562,-0.227,0.72
0.562,-0.202,0.724
0.557,-0.203,0.728
0.549,-0.202,0.727
0.546,-0.193,0.732
0.534,-0.161,0.741
0.538,-0.141,0.77
0.544,-0.134,0.784
0.562,-0.13,0.788
0.582,-0.129,0.805
0.593,-0.126,0.828
0.61,-0.122,0.84
0.616,-0.106,0.843
0.625,-0.078,0.857
0.635,-0.063,0.862
0.66,-0.042,0.859
0.665,-0.024,0.854
0.668,-0.011,0.853
0.676,-0.004,0.854
0.682,0.01,0.871
0.681,0.011,0.893
0.682,0.014,0.901
0.68,0.022,0.91
0.665,0.026,0.919
0.655,0.038,0.927
0.649,0.046,0.939
0.648,0.047,0.944
0.64,0.045,0.942
0.633,0.047,0.94
0.627,0.056,0.936
0.631,0.057,0.924
0.63,0.058,0.919
0.63,0.06,0.906
0.631,0.055,0.884
0.639,0.089,0.923
0.612,0.028,0.867
0.658,0.126,0.902
0.624,0.056,0.878
0.61,0.02,0.854
0.644,0.038,0.884
0.646,0.037,0.893
0.638,0.028,0.87
0.621,0.032,0.861
0.615,0.037,0.851
0.606,0.036,0.842
0.604,0.032,0.837
0.602,0.016,0.83
0.608,0.007,0.83
0.607,0.003,0.834
0.6,0,0.84
0.596,0,0.847
0.599,-0.002,0.851
0.596,-0.006,0.846
0.604,0.004,0.837
0.603,-0.001,0.827
0.6,0.004,0.821
0.6,0.018,0.822
0.595,0.025,0.825
0.602,0.045,0.825
0.607,0.055,0.82
0.62,0.057,0.818
0.627,0.063,0.813
0.625,0.076,0.813
0.624,0.078,0.81
0.628,0.084,0.81
0.629,0.086,0.806
0.627,0.091,0.803
0.628,0.096,0.801
0.63,0.101,0.801
