aX,aY,aZ
0.624,-0.753,0.843
0.676,-0.674,0.924
0.561,-0.712,0.87
0.529,-0.721,0.892
0.559,-0.671,0.972
0.56,-0.634,1.025
0.549,-0.592,1.02
0.569,-0.569,1.02
0.565,-0.552,1.005
0.621,-0.517,1.031
0.652,-0.45,1.056
0.674,-0.435,1.039
0.676,-0.393,1.035
0.688,-0.345,1.035
0.699,-0.32,1.017
0.692,-0.278,1.012
0.697,-0.231,1.002
0.71,-0.212,0.992
0.723,-0.183,0.988
0.727,-0.151,0.976
0.717,-0.139,0.965
0.708,-0.112,0.959
0.706,-0.088,0.964
0.703,-0.08,0.968
0.7,-0.067,0.958
0.701,-0.058,0.94
0.699,-0.056,0.915
0.679,-0.051,0.903
0.657,-0.04,0.893
0.642,-0.039,0.899
0.613,-0.042,0.913
0.596,-0.052,0.917
0.59,-0.071,0.935
0.574,-0.08,0.932
0.557,-0.091,0.925
0.548,-0.091,0.91
0.535,-0.091,0.905
0.526,-0.088,0.887
0.524,-0.092,0.869
0.522,-0.1,0.859
0.52,-0.1,0.843
0.523,-0.097,0.828
0.525,-0.096,0.82
0.515,-0.092,0.803
0.512,-0.094,0.784
0.514,-0.098,0.775
0.507,-0.106,0.761
0.507,-0.111,0.756
0.508,-0.113,0.756
0.503,-0.107,0.752
0.497,-0.096,0.75
0.489,-0.093,0.749
0.494,-0.077,0.743
0.504,-0.089,0.744
0.517,-0.099,0.732
0.53,-0.077,0.741
0.544,-0.075,0.758
0.547,-0.072,0.764
0.553,-0.062,0.769
0.555,-0.061,0.782
0.56,-0.063,0.796
0.568,-0.065,0.801
0.573,-0.067,0.807
0.577,-0.07,0.814
0.586,-0.072,0.816
0.598,-0.076,0.824
0.6,-0.083,0.83
0.608,-0.086,0.83
0.619,-0.097,0.83
0.623,-0.102,0.823
0.638,-0.115,0.823
0.652,-0.13,0.824
0.658,-0.148,0.818
0.676,-0.16,0.815
0.694,-0.181,0.813
0.705,-0.197,0.808
0.731,-0.203,0.805
0.754,-0.221,0.794
0.767,-0.237,0.787
