aX,aY,aZ
0.134,0.397,-0.263
0.15,0.371,-0.259
0.16,0.377,-0.284
0.168,0.381,-0.306
0.157,0.389,-0.294
0.152,0.414,-0.254
0.143,0.437,-0.251
0.127,0.478,-0.261
0.123,0.477,-0.272
0.11,0.462,-0.287
0.103,0.418,-0.307
0.104,0.406,-0.364
0.076,0.416,-0.386
0.035,0.413,-0.398
0.025,0.419,-0.428
0.015,0.442,-0.446
0.029,0.457,-0.44
0.035,0.471,-0.432
0.043,0.487,-0.435
0.049,0.458,-0.436
0.052,0.442,-0.424
0.061,0.402,-0.425
0.069,0.331,-0.428
0.079,0.16,-0.407
0.077,0.188,-0.406
0.062,0.078,-0.387
0.023,0.009,-0.326
-0.006,-0.14,-0.285
-0.019,-0.333,-0.229
-0.057,-0.586,-0.165
-0.099,-0.724,-0.069
-0.092,-1.047,0.011
-0.152,-1.37,0.174
-0.245,-1.699,0.289
-0.268,-1.868,0.478
-0.291,-2.199,0.528
-0.305,-2.52,0.689
-0.312,-2.652,0.858
-0.371,-2.833,0.934
-0.359,-2.964,1.03
-0.38,-3.198,1.054
-0.25,-3.323,1.077
-0.208,-3.283,1.001
-0.098,-3.24,0.914
0.023,-3.091,0.856
0.074,-2.855,0.751
0.18,-2.7,0.652
0.284,-2.315,0.595
0.459,-1.873,0.462
0.429,-1.661,0.297
0.54,-1.322,0.221
0.59,-1.019,0.088
0.684,-0.894,-0.043
0.771,-0.669,-0.115
0.834,-0.468,-0.254
0.847,-0.304,-0.35
0.845,-0.23,-0.415
0.82,-0.111,-0.449
0.795,-0.02,-0.529
0.378,-1.104,-0.522
0.372,-1.105,-0.505
0.326,-1.087,-0.375
0.269,-1.045,-0.473
0.243,-1,-0.449
0.192,-0.971,-0.461
0.148,-0.946,-0.465
0.131,-0.949,-0.465
0.106,-0.958,-0.458
0.102,-0.964,-0.461
0.12,-0.981,-0.474
0.134,-0.986,-0.471
0.168,-0.994,-0.46
0.188,-0.996,-0.418
0.233,-0.998,-0.415
0.261,-0.944,-0.405
0.353,-0.976,-0.381
0.378,-0.93,-0.344
0.384,-0.899,-0.34
0.409,-0.834,-0.34
0.417,-0.742,-0.293
0.423,-0.682,-0.274
0.427,-0.574,-0.275
0.397,-0.464,-0.277
0.377,-0.405,-0.293
0.344,-0.297,-0.3
0.325,-0.289,-0.315
0.298,-0.247,-0.336
0.264,-0.223,-0.361
0.276,-0.214,-0.365
0.268,-0.233,-0.403
0.267,-0.231,-0.488
0.279,-0.221,-0.522
0.298,-0.18,-0.519
0.309,-0.126,-0.52
0.305,-0.093,-0.52
0.303,-0.03,-0.52
0.302,0.033,-0.523
0.29,0.078,-0.542
0.252,0.196,-0.552
0.234,0.318,-0.553
0.204,0.376,-0.561
0.164,0.483,-0.566
0.139,0.542,-0.571
0.1,0.551,-0.577
0.091,0.542,-0.607
0.092,0.528,-0.641
0.102,0.487,-0.643
0.111,0.425,-0.629
0.114,0.391,-0.625
0.152,0.33,-0.638
0.17,0.286,-0.63
0.202,0.274,-0.589
0.244,0.261,-0.556
0.269,0.261,-0.489
0.326,0.263,-0.442
0.369,0.265,-0.429
0.375,0.365,-0.428
0.346,0.451,-0.436
0.273,0.599,-0.376
0.24,0.713,-0.277
0.191,0.76,-0.263
0.162,0.832,-0.294
0.15,0.835,-0.316
0.134,0.838,-0.325
0.121,0.865,-0.304
0.133,0.882,-0.256
0.175,0.874,-0.215
0.195,0.844,-0.226
0.217,0.825,-0.328
0.22,0.81,-0.36
0.233,0.827,-0.375
0.242,0.848,-0.344
0.23,0.907,-0.329
0.23,0.941,-0.309
0.23,1.032,-0.288
0.231,1.12,-0.277
0.228,1.223,-0.25
0.226,1.285,-0.255
0.221,1.417,-0.268
0.205,1.549,-0.299
0.193,1.607,-0.308
0.173,1.703,-0.304
0.169,1.801,-0.317
0.159,1.857,-0.418
0.164,1.971,-0.479
0.173,2.019,-0.572
0.204,2.096,-0.587
0.239,2.146,-0.619
0.258,2.168,-0.644
0.301,2.166,-0.65
0.354,2.136,-0.661
0.385,2.078,-0.695
0.443,2.038,-0.72
0.505,1.921,-0.705
0.53,1.772,-0.642
0.567,1.692,-0.58
0.596,1.533,-0.558
0.613,1.454,-0.542
0.639,1.276,-0.54
0.67,1.114,-0.505
0.687,1.045,-0.479
0.694,0.914,-0.465
0.677,0.825,-0.427
0.67,0.787,-0.402
0.662,0.732,-0.397
0.641,0.732,-0.395
0.626,0.777,-0.41
0.597,0.81,-0.424
0.567,0.871,-0.432
0.551,0.937,-0.424
0.527,0.966,-0.422
0.389,1.009,-0.432
0.485,1.032,-0.455
0.458,1.067,-0.473
0.444,1.098,-0.505
0.413,1.115,-0.511
0.391,1.23,-0.562
0.096,1.886,-1.114
-0.629,2.449,-1.047
-0.521,2.151,-0.838
-0.261,1.576,-0.716
0.374,1.313,-0.589
0.858,0.887,-0.546
0.94,0.761,-0.484
0.879,0.815,-0.37
0.798,0.996,-0.309
0.776,1.165,-0.208
0.763,1.259,-0.237
0.711,1.294,-0.277
0.64,1.367,-0.348
0.605,1.434,-0.414
0.541,1.471,-0.457
0.472,1.549,-0.475
0.438,1.615,-0.516
0.367,1.639,-0.567
0.301,1.673,-0.59
0.275,1.685,-0.621
0.234,1.688,-0.649
0.204,1.682,-0.66
0.193,1.675,-0.669
0.187,1.671,-0.667
0.2,1.676,-0.663
0.211,1.694,-0.65
0.232,1.706,-0.63
0.258,1.716,-0.625
0.276,1.71,-0.607
0.302,1.705,-0.592
0.314,1.7,-0.554
0.32,1.699,-0.535
0.324,1.696,-0.523
0.322,1.678,-0.517
0.317,1.647,-0.505
0.307,1.626,-0.503
0.301,1.569,-0.508
0.298,1.536,-0.531
0.283,1.466,-0.549
0.269,1.397,-0.57
0.268,1.362,-0.578
0.276,1.3,-0.582
0.284,1.247,-0.585
0.305,1.232,-0.587
0.325,1.214,-0.591
0.331,1.205,-0.591
0.335,1.206,-0.586
0.32,1.203,-0.561
0.316,1.2,-0.553
0.31,1.195,-0.554
0.292,1.173,-0.56
0.28,1.129,-0.564
0.264,1.1,-0.567
0.253,1.052,-0.571
0.247,1.028,-0.603
0.244,0.984,-0.613
0.234,0.948,-0.614
0.212,0.927,-0.621
0.196,0.881,-0.629
0.197,0.827,-0.641
0.212,0.792,-0.638
0.218,0.731,-0.658
0.211,0.7,-0.639
0.21,0.63,-0.627
0.211,0.591,-0.613
0.22,0.532,-0.61
0.232,0.499,-0.597
0.229,0.477,-0.569
0.215,0.432,-0.553
0.209,0.389,-0.521
0.203,0.37,-0.493
0.205,0.345,-0.488
0.203,0.322,-0.483
0.186,0.297,-0.449
0.179,0.244,-0.437
0.182,0.191,-0.424
0.196,0.155,-0.419
0.226,0.085,-0.42
0.24,0.022,-0.42
0.268,-0.005,-0.416
0.296,-0.053,-0.415
0.302,-0.088,-0.403
0.312,-0.096,-0.385
0.324,-0.102,-0.377
0.331,-0.102,-0.367
0.328,-0.106,-0.364
0.318,-0.11,-0.358
0.308,-0.109,-0.358
0.301,-0.104,-0.369
0.281,-0.1,-0.372
0.258,-0.081,-0.374
0.244,-0.057,-0.392
0.214,-0.045,-0.398
0.193,-0.028,-0.397
0.186,-0.004,-0.407
0.195,0.009,-0.441
0.196,0.045,-0.464
0.187,0.056,-0.466
0.175,0.052,-0.443
0.167,0.041,-0.446
0.17,0.051,-0.48
0.171,0.068,-0.54
0.134,0.09,-0.543
0.105,0.056,-0.483
0.097,-0.096,-0.436
0.097,-0.052,-0.429
0.105,-0.171,-0.402
